Numbers,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population
1,Afghanistan,2005,Developing,57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,25.2941299,257798
2,Albania,2005,Developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,311487
3,Algeria,2005,Developing,72.9,136,19,0.5,2.548922758,83,2302,48.9,22,88,3.24,88,0.1,31.122378,33288437
4,Angola,2005,Developing,47.4,382,92,5.04,98.19145117,NA,258,17.7,148,39,4.1,38,2.6,1443.991929,19552542
5,Antigua and Barbuda,2005,Developing,74.6,147,,8.15,1455.608186,99,,41.4,,98,4.41,99,0.1,11371.93895,NA
6,Argentina,2005,Developing,74.9,127,11,7.53,96.16653429,88,,56.9,12,95,6.85,98,0.1,576.883829,39145488
7,Armenia,2005,Developing,73,137,1,4.25,20.21822828,91,2281,48.8,1,92,5.25,9,0.1,1643.758397,2981259
8,Australia,2005,Developed,81,67,1,10.3,579.1331637,95,10,61.5,2,92,8.45,92,0.1,3416.71483,23948
9,Austria,2005,Developed,79.4,85,,12.4,5992.588029,86,9,52.7,,86,1.53,86,0.1,38242.4252,8227829
10,Azerbaijan,2005,Developing,68.4,162,6,0.73,81.28883085,49,1238,44.7,7,79,7.86,75,0.1,1578.4239,839185
11,Bahamas,2005,Developing,74.1,172,,10.49,,93,,58.1,,93,5.95,93,0.1,NA,NA
12,Bahrain,2005,Developing,75.3,81,,2.05,1553.468944,98,4,56.1,,98,3.16,98,0.1,17959.17854,NA
13,Bangladesh,2005,Developing,67.8,155,174,0.01,38.05462002,45,25934,12.5,231,94,2.68,93,0.1,484.155471,14343111
14,Barbados,2005,Developing,73.9,117,,8.01,1311.440423,92,,46.9,,91,5.38,92,0.1,14223.86576,NA
15,Belarus,2005,Developing,68.1,252,1,11.01,45.65007798,99,1,56.7,1,98,6.89,99,0.1,3126.71767,9663915
16,Belgium,2005,Developed,78.9,89,,12.27,5068.214488,77,26,6.2,1,97,9.24,97,0.1,36967.28292,1478617
17,Belize,2005,Developing,69,191,,6.25,365.799896,96,,43.8,,96,4.45,96,0.8,3933.332215,283277
18,Benin,2005,Developing,56.5,285,25,1.13,7.106997355,7,210,2.5,39,73,4.73,7,2.1,61.799977,7982225
19,Bhutan,2005,Developing,65,254,1,0.73,145.5965445,95,11,16.7,1,95,5.28,95,0.3,1247.61392,656639
20,Bolivia (Plurinational State of),2005,Developing,65.7,222,12,2.86,,85,,46,16,84,5.67,85,0.2,NA,NA
21,Bosnia and Herzegovina,2005,Developing,75,12,,4.56,45.71354264,93,23,5.5,,95,8.5,93,0.1,2968.41186,378153
22,Botswana,2005,Developing,51.7,566,2,6.37,629.8425643,92,5,32.7,3,96,5.62,96,20.6,5351.253732,1855852
23,Brazil,2005,Developing,72.7,163,75,6.97,23.76370075,98,6,47.8,85,99,8.27,99,0.1,477.182746,186917361
24,Brunei Darussalam,2005,Developing,76.2,92,,0.16,179.7147814,99,9,31.2,,93,2.62,94,0.1,2612.13345,NA
25,Bulgaria,2005,Developed,72.1,16,1,10.48,456.3404657,96,3,59.7,1,97,7.8,96,0.1,3893.68998,7658972
26,Burkina Faso,2005,Developing,53.3,313,48,4.88,8.769989329,NA,253,14.2,89,94,6.87,82,2.3,46.998871,1342193
27,Burundi,2005,Developing,53.4,369,24,5.54,1.747440948,87,,14.1,37,82,9.84,87,4.3,15.57434,7423289
28,Côte d'Ivoire,2005,Developing,48.7,466,63,3.11,,76,115,22.1,90,87,5.39,76,6.1,NA,NA
29,Cabo Verde,2005,Developing,71.8,134,,4.26,3.349816965,93,,24.3,,95,4.86,95,0.8,248.13459,474567
30,Cambodia,2005,Developing,62.9,234,18,1.99,62.21817261,NA,264,13.9,22,82,5.84,82,1.4,474.2238766,132721
31,Cameroon,2005,Developing,52.8,4,58,5.03,73.03276195,79,605,23.3,93,79,4.75,8,7.4,952.1872484,1742795
32,Canada,2005,Developing,81,76,2,8,6333.177967,14,6,61.3,2,93,9.57,93,0.1,36189.58838,32312
33,Central African Republic,2005,Developing,45.9,511,17,1.5,40.92207976,NA,471,18.2,26,47,4.29,54,11.2,327.1149461,412791
34,Chad,2005,Developing,48.6,46,45,0.42,8.936064632,NA,2,15.4,79,37,3.91,25,5.2,66.2421396,1679
35,Chile,2005,Developing,78.4,93,2,7.57,954.9644887,NA,,57.4,2,92,6.69,91,0.1,7615.3468,1614764
36,China,2005,Developing,73.9,99,332,2.92,171.6596026,84,124219,24.1,392,87,4.66,87,0.1,1753.4178,13372
37,Colombia,2005,Developing,73.1,144,15,4.38,531.9808176,93,,5.5,18,93,5.82,93,0.1,3386.256,43285634
38,Comoros,2005,Developing,60,266,2,0.24,69.9675435,68,912,19.2,2,67,4.32,68,0.1,621.93372,611627
39,Congo,2005,Developing,55.3,394,8,2.03,,NA,146,21.7,13,62,2.42,62,5.9,NA,NA
40,Costa Rica,2005,Developing,78.6,97,1,4.1,1002.833273,9,1,5.3,1,91,7.74,91,0.1,4697.11135,4247841
41,Croatia,2005,Developed,75.2,116,,11.59,167.2319899,NA,2,57.5,,96,6.89,96,0.1,1224.2459,4442
42,Cuba,2005,Developing,77.2,19,1,4.48,518.9359221,95,,53.8,1,99,9.39,89,0.1,3779.577,NA
43,Cyprus,2005,Developed,78.7,65,,11.41,1562.520827,88,1,55.3,,98,6.37,98,0.1,25324.48666,127658
44,Czechia,2005,Developed,75.9,114,,13.19,,99,,61.3,,96,6.93,97,0.1,NA,NA
45,Democratic People's Republic of Korea,2005,Developing,68.5,165,10,3.21,,92,,27.7,13,97,NA,79,0.1,NA,NA
46,Democratic Republic of the Congo,2005,Developing,54.3,314,233,1.43,,NA,182485,16.9,329,6,3.14,6,2,NA,NA
47,Denmark,2005,Developed,78.1,92,,11.28,7627.412444,NA,2,55,,93,9.77,93,0.1,48799.8237,5419432
48,Djibouti,2005,Developing,58.6,318,2,1.23,12.70325933,NA,298,3.2,2,71,7.21,71,3.9,94.7297489,783254
49,Dominican Republic,2005,Developing,69.7,28,7,5.71,289.7418649,87,,48.2,8,86,4.26,87,2,3681.5993,9237566
50,Ecuador,2005,Developing,74.2,151,8,3.54,18.09317114,92,,47.2,9,89,5.87,92,0.3,321.942547,13735233
51,Egypt,2005,Developing,69.4,174,56,0.16,,98,77,53.5,68,98,5.6,98,0.1,NA,NA
52,El Salvador,2005,Developing,71,213,3,2.77,440.6027042,89,,49.4,3,89,7.19,89,0.2,2835.281237,628961
53,Equatorial Guinea,2005,Developing,54.4,337,3,7.19,12.0661671,NA,,2.2,4,5,1.63,39,4.9,185.63334,757317
54,Eritrea,2005,Developing,59.4,34,7,1.07,5.064688968,96,19,13.9,9,96,2.97,96,1.6,276.75896,39697
55,Estonia,2005,Developing,72.8,189,,15.52,153.5045263,95,2,55.5,,96,5.2,96,0.1,1338.31322,1354775
56,Ethiopia,2005,Developing,56,343,206,0.99,18.03753133,NA,357,13.8,323,56,4.2,44,3.7,161.6266248,7672783
57,Fiji,2005,Developing,68.3,214,,2.02,64.39203443,99,,55.1,,97,3.61,96,0.1,3658.63832,821817
58,Finland,2005,Developing,78.9,11,,9.95,4816.589613,NA,1,58.1,,97,8.43,97,0.1,38969.17163,524696
59,France,2005,Developing,81,93,3,12.2,5451.701225,35,36,57.5,4,98,1.6,98,0.1,34879.72633,63179356
60,Gabon,2005,Developing,65,37,2,7.72,353.2438029,28,,3.8,3,44,2.76,45,10.9,6741.293948,143126
61,Gambia,2005,Developing,57.7,294,3,2.26,,95,,2.9,6,94,4.97,95,3,NA,NA
62,Georgia,2005,Developing,73.9,128,1,4.7,9.444875415,79,1356,48.6,1,82,8.6,82,0.1,153.57521,419
63,Germany,2005,Developed,79.2,85,3,11.67,6012.92584,9,778,57.6,3,95,1.52,96,0.1,34696.6292,82469422
64,Ghana,2005,Developing,58.9,296,41,1.5,78.71123825,84,435,22.4,62,85,4.51,84,3.1,498.172394,215429
65,Greece,2005,Developing,79.3,81,,9.95,2785.139364,93,122,6.5,1,96,9.36,96,0.1,22551.73574,1987314
66,Grenada,2005,Developing,71.5,169,,8.8,119.5548694,99,,4.5,,99,5.5,99,0.1,6754.512393,NA
67,Guatemala,2005,Developing,69.2,28,14,2.35,41.50845637,87,,43.8,18,87,6.79,87,0.4,277.83438,139628
68,Guinea,2005,Developing,54.7,327,32,0.21,1.099665984,NA,99,18.5,51,59,2.82,59,2.7,33.424498,9679745
69,Guinea-Bissau,2005,Developing,53.9,37,5,3.1,22.09757984,NA,,2.1,8,73,5.72,68,5.4,424.9534585,138838
70,Guyana,2005,Developing,65,238,1,7.35,17.46405901,93,,39,1,93,5.83,93,1.8,198.455216,75946
71,Haiti,2005,Developing,65,29,17,5.57,38.10904264,NA,,38.5,24,6,4.41,6,3.9,465.311876,926344
72,Honduras,2005,Developing,72.5,163,5,3.23,203.7134882,97,,42.8,6,98,7.81,98,0.9,1311.741714,737343
73,Hungary,2005,Developed,72.9,182,1,12.94,1317.08348,NA,2,58.8,1,99,8.28,99,0.1,11161.72441,18765
74,Iceland,2005,Developed,81,62,,7.05,10631.20379,NA,,56.9,,95,9.21,95,0.1,56249.7555,296734
75,India,2005,Developing,64.4,211,1500,1.27,3.5096369,8,36711,13.5,2000,65,4.28,65,0.3,77.819,1144118674
76,Indonesia,2005,Developing,67.2,19,163,0.06,5.381782562,65,15853,19,201,79,2.79,72,0.1,126.928834,22671273
77,Iran (Islamic Republic of),2005,Developing,72,139,27,0.01,,94,7,48.5,32,95,6.6,95,0.1,NA,NA
78,Iraq,2005,Developing,66.8,29,31,0.18,59.18845152,65,908,52.5,37,69,4.13,65,0.1,1849.63911,278426
79,Ireland,2005,Developed,78.7,78,,13.31,973.681333,NA,95,55.1,,9,7.27,9,0.1,5886.82789,4159914
80,Israel,2005,Developing,80,71,1,2.41,250.9343317,96,2,6.6,1,95,7.44,93,0.1,2611.17931,6931
81,Italy,2005,Developed,88,66,2,8.65,4506.255963,96,135,58.2,2,97,8.71,95,0.1,31959.26215,57969484
82,Jamaica,2005,Developing,73.5,161,1,3.59,16.97511622,99,,46.3,1,99,4.7,99,1.9,482.24762,2744673
83,Japan,2005,Developed,82,69,3,7.99,6799.664423,NA,,24.4,4,95,8.18,98,0.1,37217.64873,127773
84,Jordan,2005,Developing,72.4,127,4,0.55,27.44252286,95,28,57.8,4,95,8.88,95,0.1,223.83787,5714111
85,Kazakhstan,2005,Developing,64.6,294,8,6.94,351.8603267,94,16118,46.3,9,99,4.7,98,0.1,3771.278957,1514729
86,Kenya,2005,Developing,54.1,412,70,1.82,39.55677502,76,153,16.4,108,7,4.36,76,11.6,519.7999346,3648288
87,Kiribati,2005,Developing,64.9,213,,0.6,111.7392134,5,,72.1,,74,1.6,79,0.1,1214.556667,92325
88,Kuwait,2005,Developing,73.6,9,,0.01,239.5751391,99,10,66.3,1,99,2.38,99,0.1,3549.26132,NA
89,Kyrgyzstan,2005,Developing,66.9,224,4,2.81,,97,53,38,4,98,5.82,98,0.1,NA,NA
90,Lao People's Democratic Republic,2005,Developing,61,246,11,3.68,,49,295,14.9,16,5,4.32,49,0.2,NA,NA
91,Latvia,2005,Developed,76,216,,9.92,86.9255399,99,2,57,,99,6.37,99,0.1,7558.7426,2238799
92,Lebanon,2005,Developing,73.9,11,1,1.94,630.0540723,77,618,6.8,1,74,8.42,77,0.1,5339.441291,3986852
93,Lesotho,2005,Developing,44.5,675,5,2.67,57.90369752,87,,27.4,6,88,6.3,89,34.8,862.9463118,1949543
94,Liberia,2005,Developing,55.3,316,12,4.19,22.39648813,NA,8,22,16,66,8.4,6,3.1,168.648254,326123
95,Libya,2005,Developing,71.9,138,2,0.01,472.3047034,97,292,56,3,98,2.71,98,0.1,8171.361651,NA
96,Lithuania,2005,Developed,78,222,,12.3,913.699529,95,1,58.4,,93,5.83,94,0.1,7863.1629,3322528
97,Luxembourg,2005,Developed,78.8,9,,11.84,1346.246697,95,,57,,99,7.95,99,0.1,8289.69641,465158
98,Madagascar,2005,Developing,69,265,37,0.72,33.74786198,81,,15.8,56,8,5.3,85,0.6,274.819723,18336724
99,Malawi,2005,Developing,46,66,39,1.04,5.670640102,93,184,15.9,62,94,8.2,93,22.4,28.3673842,1339711
100,Malaysia,2005,Developing,73.4,135,3,0.46,297.5913833,96,1407,3.7,4,96,3.29,96,0.1,5593.822995,25659393
101,Maldives,2005,Developing,74.3,93,,1.47,620.9518909,98,1395,18,,98,9.52,98,0.1,3488.493769,321
102,Mali,2005,Developing,53.6,29,57,0.55,60.21211141,83,33,18,101,78,6.34,77,1.9,487.942556,12798763
103,Malta,2005,Developed,79,67,,6.41,2247.035692,85,6,65,,94,8.83,92,0.1,15835.34667,43834
104,Mauritania,2005,Developing,66,223,8,0.01,55.12187071,42,127,24.2,12,71,4.21,71,1.3,697.7451989,31372
105,Mauritius,2005,Developing,72.1,168,,3.94,479.9234077,97,7,28,,97,4.47,97,0.1,5116.45424,1228254
106,Mexico,2005,Developing,75.3,126,42,4.93,998.3498049,98,6,56.4,49,98,6.4,98,0.1,7986.798439,18472228
107,Micronesia (Federated States of),2005,Developing,67.9,178,,1.9,,91,,63.6,,94,12.11,94,0.1,NA,NA
108,Mongolia,2005,Developing,64.5,274,2,2.75,98.68367951,98,,42.1,2,99,5.9,99,0.1,998.8226671,2526446
109,Montenegro,2005,Developing,73.6,133,,NA,527.3076721,NA,,55.7,,NA,8.46,NA,0.1,3674.617924,614261
110,Morocco,2005,Developing,77,137,22,0.47,9.469371264,96,,49.1,26,98,5.6,98,0.1,213.755559,35217
111,Mozambique,2005,Developing,58,434,80,1.23,67.33378735,75,12598,18.5,117,71,6.87,8,16.2,369.1545359,29237
112,Myanmar,2005,Developing,63.9,224,64,0.28,2.793843188,62,314,16.4,87,86,1.83,73,0.5,247.24276,48482614
113,Namibia,2005,Developing,55.1,477,3,4.89,457.7200522,NA,4,27.9,4,86,7.32,86,22.1,3573.146387,232196
114,Nepal,2005,Developing,65.4,28,33,0.2,4.259752532,41,5023,13.9,44,78,5.72,75,0.2,317.89198,2564287
115,Netherlands,2005,Developed,79.4,72,1,9.69,6577.508136,NA,4,55.8,1,96,9.6,96,0.1,41577.169,16319868
116,New Zealand,2005,Developed,79.9,78,,9.31,491.055852,87,20,62.1,,89,8.25,89,0.1,2775.89515,NA
117,Nicaragua,2005,Developing,71.2,194,3,3.7,218.5716179,86,,46.4,4,87,6.11,86,0.3,1175.116225,5379328
118,Niger,2005,Developing,53.7,278,55,0.11,3.751715442,NA,2183,15.4,114,46,7.15,45,1.6,25.383731,13618449
119,Nigeria,2005,Developing,49.2,4,556,9.71,6.416252787,18,110927,19.3,893,45,4.11,36,5.4,87.8938738,138939478
120,Norway,2005,Developed,81,73,,6.37,11792.53465,NA,,56.5,,91,8.89,91,0.1,66775.3944,4623291
121,Oman,2005,Developing,74.3,118,1,0.63,854.0115758,99,25,49.5,1,99,2.59,99,0.1,12376.97936,NA
122,Pakistan,2005,Developing,62.9,2,364,0.04,30.59320769,7,2981,18.9,459,78,2.91,77,0.1,711.4699463,15399667
123,Panama,2005,Developing,75.8,122,1,5.53,623.9100503,92,,5.3,2,88,7.48,92,0.1,4916.54886,333465
124,Papua New Guinea,2005,Developing,64,37,11,0.84,12.05551997,63,1222,41.1,15,61,6.42,72,1.5,77.5773486,631479
