Numbers,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population
1,Afghanistan,2011,Developing,59.2,275,71,0.01,7.097108703,68,3013,17.2,97,68,7.87,68,0.1,63.537231,2978599
2,Albania,2011,Developing,76.6,88,0,5.37,437.0621,99,28,55.1,1,99,5.71,99,0.1,4437.17868,295195
3,Algeria,2011,Developing,74.9,116,21,0.56,509.0020405,95,112,55,24,95,5.29,95,0.1,5432.2523,36819558
4,Angola,2011,Developing,51,361,75,8.06,239.8913921,72,1449,21,115,73,3.38,71,2.5,4299.12889,24218565
5,Antigua and Barbuda,2011,Developing,75.7,136,0,7.84,1810.875316,99,0,45.1,0,99,5.65,99,0.1,11929.34991,0
6,Argentina,2011,Developing,75.7,12,9,8.11,1504.329462,91,3,6.4,10,93,5.89,91,0.1,12726.9836,41656879
7,Armenia,2011,Developing,73.9,128,1,4.09,260.9963826,95,0,51.9,1,96,3.71,95,0.1,3526.978143,2875581
8,Australia,2011,Developed,82,63,1,10.3,10986.26527,92,190,64.4,1,92,9.2,92,0.1,62245.129,223424
9,Austria,2011,Developed,88,73,0,12.04,8272.306757,89,68,55.7,0,89,1.94,89,0.1,51126.74139,8391643
10,Azerbaijan,2011,Developing,71.6,125,5,1.98,263.142699,84,0,48.8,6,91,5.1,87,0.1,7189.691229,917382
11,Bahamas,2011,Developing,75,162,0,9.34,0,95,0,62,0,97,7.63,98,0.1,0,0
12,Bahrain,2011,Developing,76.1,76,0,1.66,197.7734681,99,0,6.8,0,99,3.4,99,0.1,2281.1242,0
13,Bangladesh,2011,Developing,73,14,118,0.01,62.34988484,96,5625,15.8,150,96,3.16,96,0.1,835.789341,153911916
14,Barbados,2011,Developing,74.9,14,0,8.51,173.9825629,91,0,51.4,0,91,6.67,91,0.1,15534.1574,0
15,Belarus,2011,Developing,72,232,0,17.31,846.9113071,98,50,59.9,1,98,4.92,98,0.1,6519.71753,9473172
16,Belgium,2011,Developed,83,8,0,10.11,713.5297354,97,576,62.3,1,98,1.42,98,0.1,4772.77415,1147744
17,Belize,2011,Developing,69.4,188,0,6.64,605.6286892,95,0,47.8,0,95,5.61,95,0.5,4516.24675,329192
18,Benin,2011,Developing,59.1,251,25,1.4,110.2633619,75,426,23.5,39,77,5.37,75,1.4,825.9427854,94682
19,Bhutan,2011,Developing,68.3,225,0,0.23,289.8524057,95,10,21.1,1,95,4.73,95,0.5,2458.45976,7451
20,Bolivia (Plurinational State of),2011,Developing,69.3,198,9,3.93,0,95,0,49.9,11,95,5.49,95,0.2,0,0
21,Bosnia and Herzegovina,2011,Developing,76.9,92,0,4.64,7.959131146,88,10,53.7,0,89,9.71,88,0.1,55.156834,3688865
22,Botswana,2011,Developing,62.2,325,2,5.76,668.9562854,95,8,35.7,3,96,5.25,95,5.5,7645.21469,251339
23,Brazil,2011,Developing,74.1,152,51,7.58,1084.999766,98,43,52.8,57,98,8.9,99,0.1,13167.47289,198686688
24,Brunei Darussalam,2011,Developing,77.4,79,0,0.97,295.7730171,93,4,37.2,0,99,2.25,97,0.1,4717.273,0
25,Bulgaria,2011,Developed,73.7,144,1,10.67,875.1495189,96,157,63.3,1,95,6.88,95,0.1,7813.83499,7348328
26,Burkina Faso,2011,Developing,58.1,275,42,4.51,85.55592906,91,860,17.1,71,9,5.17,91,0.9,666.842783,168194
27,Burundi,2011,Developing,57.4,321,22,4.16,3.595980333,96,129,16.6,33,95,8.58,96,1.5,26.479973,94358
28,Côte d'Ivoire,2011,Developing,51.7,419,60,3.13,0,62,628,25.6,83,58,6.42,62,3.3,0,0
29,Cabo Verde,2011,Developing,72.6,122,0,5.07,4.409153436,9,0,28.2,0,9,4.6,9,0.3,367.429453,5867
30,Cambodia,2011,Developing,67,19,13,2.12,60.18591771,88,722,17,15,87,5.64,88,0.3,882.491462,14537886
31,Cameroon,2011,Developing,55.6,371,51,6.19,83.18071241,82,504,26.6,79,8,3.96,82,4.9,1295.649726,252447
32,Canada,2011,Developing,81.5,68,2,8.2,971.9280384,7,803,64.7,2,87,1.82,87,0.1,5282.2176,3434278
33,Central African Republic,2011,Developing,49.8,443,16,1.66,58.52947463,47,679,2.7,24,47,3.73,47,5.8,494.336779,4476153
34,Chad,2011,Developing,51.6,365,46,0.56,67.76269089,33,8650,17.5,79,4,3.17,33,3.9,989.2363633,12288651
35,Chile,2011,Developing,79.8,86,2,7.26,211.614293,94,6,61.2,2,93,7,94,0.1,1475.69242,17153357
36,China,2011,Developing,75.2,91,215,5.63,91.26749779,99,9943,29,251,99,5.3,99,0.1,5633.79616,134413
37,Colombia,2011,Developing,74.2,144,12,4.37,184.3073618,85,6,55,14,85,6.64,85,0.1,7227.73968,4646646
38,Comoros,2011,Developing,62.2,241,2,0.12,59.6596497,83,3,22.1,2,85,6.1,83,0.2,829.7586885,76569
39,Congo,2011,Developing,62.9,285,7,3.82,0,7,315,25,10,69,2.79,82,3.5,0,0
40,Costa Rica,2011,Developing,79,98,1,3.41,2429.854745,84,0,56.5,1,82,9.73,85,0.1,9186.59639,46474
