Numbers,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population
1,Afghanistan,2001,Developing,55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,117.49698,2966463
2,Albania,2001,Developing,73.6,14,1,4.25,96.20557078,96,18,46,1,97,6,97,0.1,1326.97339,36173
3,Algeria,2001,Developing,71.4,145,20,0.23,147.9860714,0,2686,45.3,24,89,3.84,89,0.1,1732.857979,31592153
4,Angola,2001,Developing,45.7,44,97,2.58,30.35993647,0,9046,15.8,159,41,5.38,38,2.1,526.168743,16983266
5,Antigua and Barbuda,2001,Developing,73.8,154,0,7.51,163.7676978,96,0,38.9,0,99,4.48,97,0.1,9358.154162,0
6,Argentina,2001,Developing,74,138,12,7.76,123.0128671,0,0,54.6,13,85,9.38,83,0.1,717.694674,3747159
7,Armenia,2001,Developing,72.6,141,1,2.86,53.19373012,69,69,47.4,1,97,5.94,94,0.1,694.435119,35655
8,Australia,2001,Developed,79.9,75,1,9.53,3064.301144,94,141,59,2,91,8.18,92,0.1,19517.84168,19413
9,Austria,2001,Developed,78.6,92,0,12.4,3582.848308,44,0,5.6,0,83,1.12,84,0.1,24489.73553,842293
10,Azerbaijan,2001,Developing,67.5,151,8,0.51,4.104190077,0,574,42.6,10,77,4.48,77,0.1,73.6838434,81112
11,Bahamas,2001,Developing,72.9,189,0,11.64,0,21,0,55.2,0,98,5.15,99,0.2,0,0
12,Bahrain,2001,Developing,74.7,9,0,1.95,1150.418063,99,5,54.8,0,99,3.8,99,0.1,12868.211,0
13,Bangladesh,2001,Developing,65.8,168,219,0.01,3.395069781,0,4414,1.8,298,85,2.47,85,0.1,42.5981152,1341716
14,Barbados,2001,Developing,73.4,125,0,7.38,138.1664627,18,0,43.8,0,93,5.47,84,0.7,11513.87189,0
15,Belarus,2001,Developing,67.7,254,1,10.74,14.06141699,93,45,54.9,1,99,6.62,99,0.1,1244.373185,9928549
16,Belgium,2001,Developed,78,1,1,11.01,2943.375396,6,83,58.5,1,96,8.29,95,0.1,23121.56635,128657
17,Belize,2001,Developing,68.2,21,0,4.9,251.6586929,96,0,41.4,0,96,4.5,96,0.4,3419.275719,254984
18,Benin,2001,Developing,55.5,281,25,1.29,45.33476384,0,5859,18.8,40,77,4.69,76,2.1,378.73654,776733
19,Bhutan,2001,Developing,61.7,29,1,0.14,8.574029812,89,756,14.4,1,88,5.91,88,0.1,87.9387673,5896
20,Bolivia (Plurinational State of),2001,Developing,63.3,238,14,2.2,0,77,0,43.3,19,71,6.31,71,0.1,0,0
21,Bosnia and Herzegovina,2001,Developing,74.9,113,0,3.85,143.2947487,0,0,48.2,0,92,7.16,91,0.1,1524.41222,3771284
22,Botswana,2001,Developing,46.7,679,2,5.48,306.9527349,87,1,3.5,4,97,5.73,97,37.2,3128.97793,1754935
23,Brazil,2001,Developing,71,179,103,7.13,149.4802091,91,1,44.5,118,99,7.19,98,0.1,3146.95177,1777567
24,Brunei Darussalam,2001,Developing,74.7,19,0,0.47,1078.66244,99,11,27,0,99,3.6,97,0.1,16468.12886,0
25,Bulgaria,2001,Developed,71.6,16,1,10.72,25.06262895,93,8,57.5,1,94,7.23,94,0.1,1764.97387,89142
26,Burkina Faso,2001,Developing,56,344,48,4.56,23.1016899,0,4174,12.5,93,62,4.85,62,3.6,235.4912324,11944587
27,Burundi,2001,Developing,51.3,385,25,6.09,10.61917585,0,0,13,40,72,4.96,81,5.3,133.7427689,6555829
28,Côte d'Ivoire,2001,Developing,47.8,467,65,3.15,0,1,5790,19.9,94,7,4.85,66,7,0,0
29,Cabo Verde,2001,Developing,73,152,0,3.81,150.7434862,0,0,22.1,0,91,5.19,9,0.8,1268.884564,443716
30,Cambodia,2001,Developing,58.5,273,25,1.71,27.68971051,0,3761,12.4,33,59,5.7,6,2.2,321.22634,1242473
31,Cameroon,2001,Developing,51.5,41,61,4.43,41.73629221,0,23934,21.3,99,61,4.7,63,7.9,614.6729339,15671927
32,Canada,2001,Developing,79.4,8,2,7.6,3665.089703,0,34,58.5,2,88,9.1,89,0.1,23691.59472,31819
33,Central African Republic,2001,Developing,45.6,54,17,1.52,33.65315697,0,2837,16.8,25,4,3.95,4,13.9,243.1586486,383223
34,Chad,2001,Developing,48,4,42,0.3,26.87439074,0,24908,14.1,75,26,6.9,26,4.8,197.3156442,866312
35,Chile,2001,Developing,77.3,16,2,6.1,687.5116825,0,0,54.7,3,96,6.51,97,0.1,4595.666327,15444969
36,China,2001,Developing,72.2,11,457,2.84,14.23064496,65,88962,21.2,558,86,4.56,86,0.1,153.1824,127185
37,Colombia,2001,Developing,71.5,165,17,4.43,404.4205858,8,3,47.5,21,83,5.96,8,0.1,2395.856551,498899
38,Comoros,2001,Developing,59.5,272,1,0.08,19.71741043,0,0,17.6,2,7,2.86,7,0.1,395.9319363,555888
39,Congo,2001,Developing,52.7,419,9,2.3,0,0,2152,19.8,14,32,2.44,31,7.6,0,0
40,Costa Rica,2001,Developing,77.5,1,1,4.29,868.3713593,8,0,46.4,1,92,7.25,91,0.1,3981.52847,3996798
41,Croatia,2001,Developed,74.9,126,0,13.15,650.9567981,0,8,55.2,0,94,7.16,94,0.1,5245.421419,444
42,Cuba,2001,Developing,76.7,115,1,4.04,322.5863149,98,0,5.4,1,99,6.27,98,0.1,2832.188893,0
43,Cyprus,2001,Developed,78.2,69,0,10.16,100.8086193,89,0,53.3,0,97,5.78,97,0.1,1562.92433,96282
44,Czechia,2001,Developed,75.1,123,0,13.36,0,0,6,59.4,0,97,6.42,98,0.1,0,0
45,Democratic People's Republic of Korea,2001,Developing,66.6,177,16,2.53,0,0,0,25.7,21,98,0,62,0.1,0,0
46,Democratic Republic of the Congo,2001,Developing,51.8,34,227,1.9,0,0,8072,15.3,332,3,2.67,3,2.4,0,0
47,Denmark,2001,Developed,77,12,0,11.56,530.4832336,0,11,52.8,0,97,9.1,97,0.1,3751.64946,5358783
48,Djibouti,2001,Developing,57.7,323,2,0.95,92.4978948,0,79,28.6,2,49,5.37,53,4.3,781.2322196,732711
49,Dominican Republic,2001,Developing,71.2,188,7,6.13,340.0239945,66,113,44.1,9,71,5.59,72,2.5,2862.154836,8697126
50,Ecuador,2001,Developing,73.4,158,9,4.13,14.5887403,69,2,44.3,10,9,3.86,89,0.3,193.741571,12852755
51,Egypt,2001,Developing,68.6,177,63,0.14,0,99,2150,51.2,78,99,5.75,99,0.1,0,0
52,El Salvador,2001,Developing,68.9,219,4,2.88,332.1056586,75,2,46.2,4,94,8.2,92,0.4,2338.772244,595962
53,Equatorial Guinea,2001,Developing,53.1,334,3,5.07,197.7839552,0,1339,18.7,4,43,1.78,35,2.3,2283.87939,639762
54,Eritrea,2001,Developing,58.1,345,7,0.61,5.593619538,0,204,12.8,10,89,3.95,86,2,215.139213,3497124
55,Estonia,2001,Developing,78,225,0,0.01,88.62945822,0,0,54.3,0,94,4.85,94,0.1,4498.95727,1388115
56,Ethiopia,2001,Developing,52.5,372,246,0.85,1.186227577,0,2366,12.6,392,55,4.26,32,4.9,12.1789279,68492257
57,Fiji,2001,Developing,67.8,221,0,1.93,20.7119129,98,17,51.2,0,92,3.28,91,0.1,238.891729,814218
58,Finland,2001,Developing,78,1,0,8.94,2775.33544,0,1,56.1,0,95,7.43,98,0.1,24913.24452,51888
59,France,2001,Developing,79,13,3,13.89,3451.185079,28,0,55.2,4,98,9.89,97,0.1,22527.31775,61357431
