Numbers,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population
1,Afghanistan,2008,Developing,58.1,287,80,0.03,25.87392536,64,1599,15.7,110,64,8.33,64,0.1,373.3611163,2729431
2,Albania,2008,Developing,75.3,1,1,5.61,36.62206845,99,,52.6,1,99,5.87,99,0.1,437.539647,2947314
3,Algeria,2008,Developing,74.1,126,20,0.46,43.08717334,91,217,51.8,23,92,4.2,93,0.1,495.254866,3486715
4,Angola,2008,Developing,48.7,371,84,7.07,249.9101958,69,265,19.3,133,65,3.84,69,2.6,3868.578883,2175942
5,Antigua and Barbuda,2008,Developing,75.2,142,,8.27,180.7762695,98,,43.2,,99,4.69,99,0.1,1473.31923,NA
6,Argentina,2008,Developing,75.4,126,10,8.41,1413.73543,9,,58.6,11,94,6.66,93,0.1,8953.359275,4382389
7,Armenia,2008,Developing,73.2,14,1,3.96,2.8888979,89,,5.1,1,91,3.8,89,0.1,41.26997,29822
8,Australia,2008,Developed,81.3,66,1,10.76,8547.292357,94,65,62.9,1,92,8.78,92,0.1,49664.6854,212492
9,Austria,2008,Developed,84,76,,12,8329.731655,83,448,54.2,,83,1.6,83,0.1,51386.37665,8321496
10,Azerbaijan,2008,Developing,73,141,6,1.18,206.2616134,68,5,46.6,6,85,4.37,81,0.1,5574.6382,87634
11,Bahamas,2008,Developing,74.5,167,,10.15,,9,,6.1,,93,7.3,93,0.1,NA,NA
12,Bahrain,2008,Developing,75.8,76,,2,231.5478912,97,2,58.5,,97,3.17,97,0.1,2367.56535,NA
13,Bangladesh,2008,Developing,69.1,147,144,0.01,42.48865034,96,2660,14,186,96,2.85,96,0.1,615.7775411,14885814
14,Barbados,2008,Developing,74.4,111,,8.95,25.52277112,85,,49.2,,85,6.1,85,0.1,1657.3228,NA
15,Belarus,2008,Developing,70,224,1,14.67,501.8056141,98,,58.2,1,98,5.95,97,0.1,6376.183153,9527985
16,Belgium,2008,Developed,79.5,87,,10.47,7191.051507,98,98,61.3,1,99,9.6,99,0.1,48424.58927,179973
17,Belize,2008,Developing,69.6,181,,7.22,51.25232422,94,,45.7,,94,5.9,94,0.1,447.22796,36165
18,Benin,2008,Developing,57.6,278,25,1.28,7.615430126,75,928,22,39,77,4.2,75,1.8,82.1513498,8696916
19,Bhutan,2008,Developing,67,234,1,0.21,302.667579,96,7,18.8,1,96,6.58,96,0.4,1795.18137,795
20,Bolivia (Plurinational State of),2008,Developing,67.4,211,10,3.77,,88,,48,13,87,5,88,0.2,NA,NA
21,Bosnia and Herzegovina,2008,Developing,76,98,,5.13,66.04635027,88,8,52.1,,92,8.58,91,0.1,575.31664,3763599
22,Botswana,2008,Developing,57.5,427,2,6.56,476.8625872,94,,34.2,3,96,5.55,96,12.7,5623.379566,1946351
23,Brazil,2008,Developing,73.4,158,61,7.21,526.3780636,96,,5.3,68,99,8.24,99,0.1,8787.61375,19297929
24,Brunei Darussalam,2008,Developing,77.2,84,,0.67,2538.941033,96,3,34.2,,97,2.23,98,0.1,37951.286,NA
25,Bulgaria,2008,Developed,72.9,155,1,10.98,107.9826127,96,1,61.5,1,96,6.61,95,0.1,7296.122479,7492561
26,Burkina Faso,2008,Developing,56.1,288,45,4.5,107.7988339,93,395,15.6,80,92,6.77,93,1.5,569.7612784,14689726
27,Burundi,2008,Developing,55.3,35,23,4.33,15.99415192,92,173,15.2,35,89,7.86,92,2.9,196.2472628,8212264
28,Côte d'Ivoire,2008,Developing,54,437,60,2.69,,74,12,23.8,85,58,6.21,74,4.1,NA,NA
29,Cabo Verde,2008,Developing,72.4,124,,4.16,360.6208825,98,,26.2,,99,3.96,99,0.4,3638.95946,491723
30,Cambodia,2008,Developing,65.6,199,16,2.24,53.10009046,91,4211,15.3,18,91,5.55,91,0.7,745.7877873,138859
31,Cameroon,2008,Developing,54.2,382,56,5.9,68.7073044,84,495,24.9,87,82,5.18,84,6.7,1233.524316,18978
