Numbers,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population
1,Afghanistan,2006,Developing,57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,272.56377,2589345
2,Albania,2006,Developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,2992547
3,Algeria,2006,Developing,73.4,132,20,0.36,270.2401962,8,944,49.8,23,95,3.36,95,0.1,3464.6179,33777915
4,Angola,2006,Developing,47.7,381,90,5.84,25.08688824,0,765,18.2,143,36,4.54,34,2.5,262.415149,2262399
5,Antigua and Barbuda,2006,Developing,74.8,145,0,8.93,216.3146941,99,0,42,0,99,4.34,99,0.1,12724.39377,0
6,Argentina,2006,Developing,75.2,127,11,7.75,961.1774676,84,0,57.5,12,92,6.68,91,0.1,5878.76127,3955889
7,Armenia,2006,Developing,72.9,141,1,4.01,244.5352767,78,137,49.2,1,87,4.58,87,0.1,2158.299,29585
8,Australia,2006,Developed,81.2,66,1,10.31,6187.062017,95,0,62,2,92,8.49,92,0.1,36118.28381,26979
9,Austria,2006,Developed,79.8,81,0,12.4,69.92899358,83,23,53.2,0,83,1.35,83,0.1,443.99361,8268641
10,Azerbaijan,2006,Developing,69.2,154,6,0.85,105.6337264,52,222,45.3,7,8,6.17,78,0.1,2473.85776,848455
11,Bahamas,2006,Developing,74.2,171,0,11.07,0,96,0,58.7,0,94,6.93,95,0.1,0,0
12,Bahrain,2006,Developing,75.5,79,0,2.1,170.7374027,98,3,56.8,0,98,3.8,98,0.1,1937.99549,0
13,Bangladesh,2006,Developing,68.2,152,164,0.01,42.3304549,86,6192,13,215,95,2.8,94,0.1,494.51466,1453684
14,Barbados,2006,Developing,74.1,115,0,8.39,181.5000856,84,0,47.7,0,85,5.27,84,0.1,15646.5591,0
15,Belarus,2006,Developing,68.9,243,1,12.6,364.426052,98,149,57.2,1,97,6.34,99,0.1,3848.215966,964924
16,Belgium,2006,Developed,79.4,85,0,10.98,5579.199083,94,15,6.6,1,99,9.17,98,0.1,38852.3613,1547958
17,Belize,2006,Developing,69.4,184,0,6.48,387.3324928,98,0,44.4,0,98,4.4,98,0.6,4187.3783,29747
18,Benin,2006,Developing,56.8,284,25,1.19,75.91429496,74,176,21,39,76,4.75,74,2,625.8392,8216896
19,Bhutan,2006,Developing,65.8,245,1,0.29,169.2023968,95,2,17.4,1,96,5.27,95,0.3,1335.45696,672228
20,Bolivia (Plurinational State of),2006,Developing,66.2,219,11,3.23,0,83,0,46.7,15,82,5.19,83,0.2,0,0
21,Bosnia and Herzegovina,2006,Developing,75.7,1,0,4.82,38.25414065,9,17,51,0,91,8.28,87,0.1,344.321698,3779468
22,Botswana,2006,Developing,54.8,491,2,6.45,76.31867911,93,6,33.2,3,96,4.93,96,14.4,5374.554867,1884238
23,Brazil,2006,Developing,73,161,70,7.1,30.30374691,99,57,48.6,79,99,8.36,99,0.1,586.145975,18912412
24,Brunei Darussalam,2006,Developing,76.3,93,0,0.67,24.97532919,99,0,32.2,0,94,2.24,97,0.1,398.96692,0
25,Bulgaria,2006,Developed,72.2,161,1,10.39,508.6304588,96,1,6.3,1,96,6.67,95,0.1,4513.13628,76122
26,Burkina Faso,2006,Developing,54.3,32,47,4.73,64.24025208,76,125,14.6,86,94,6.58,86,2,422.6332374,13829177
27,Burundi,2006,Developing,54.1,361,24,4.5,21.24915339,92,784,14.5,36,88,11.49,92,3.8,165.8794176,7675338
28,Côte d'Ivoire,2006,Developing,49.4,452,62,2.65,0,77,11,22.6,89,76,5.87,77,5.8,0,0
29,Cabo Verde,2006,Developing,72.1,129,0,4.25,26.45133197,95,0,24.9,0,97,5.11,96,0.6,234.28992,48795
30,Cambodia,2006,Developing,64.1,216,17,2.03,51.50447119,8,188,14.3,21,8,4.48,8,1.1,539.8791529,13474489
31,Cameroon,2006,Developing,53.3,394,58,5.22,0.962497052,81,196,23.8,91,78,4.69,81,7.2,12.989164,17899562
32,Canada,2006,Developing,85,75,2,8.2,771.1817686,14,13,61.9,2,95,9.75,95,0.1,4386.69948,325755
33,Central African Republic,2006,Developing,46.3,56,17,1.54,46.90117916,0,3,18.6,26,47,3.99,51,10,347.673678,421758
34,Chad,2006,Developing,48.5,414,45,0.41,62.67225971,0,1594,15.7,80,49,3.32,4,5.1,712.1847694,1421597
35,Chile,2006,Developing,78.9,91,2,7.33,1275.689625,95,0,58.1,2,94,6.18,94,0.1,9484.681227,16319792
36,China,2006,Developing,74.2,98,307,3.28,29.74342979,91,99602,24.9,360,94,4.52,93,0.1,299.229676,13112
37,Colombia,2006,Developing,73.1,147,15,4.53,62.43710774,93,0,51.3,17,94,6.11,93,0.1,379.78776,43835722
38,Comoros,2006,Developing,63,262,2,0.25,77.0283958,69,85,19.6,2,69,4.57,69,0.1,648.38717,626425
39,Congo,2006,Developing,56.9,368,8,2.25,0,0,126,22.3,12,73,2.37,73,5.5,0,0
40,Costa Rica,2006,Developing,78,16,1,4.15,1185.412346,88,0,51.4,1,89,7.82,89,0.1,5245.187372,438794
41,Croatia,2006,Developed,75.9,113,0,11.83,1555.651986,0,1,58.1,0,96,6.95,96,0.1,11363.41845,444
42,Cuba,2006,Developing,78,14,1,4.17,523.4724284,89,0,54.6,1,99,7.67,89,0.1,4669.6916,0
43,Cyprus,2006,Developed,78.8,64,0,11.47,1700.841534,93,0,55.8,0,97,6.28,97,0.1,27169.99256,14559
44,Czechia,2006,Developed,76.5,19,0,13.03,0,98,7,61.8,0,98,6.69,98,0.1,0,0
45,Democratic People's Republic of Korea,2006,Developing,68.5,165,10,3.28,0,96,0,28.2,12,98,0,89,0.1,0,0
46,Democratic Republic of the Congo,2006,Developing,55,36,235,1.53,0,0,80123,17.3,327,62,3.39,62,2,0,0
47,Denmark,2006,Developed,78.1,93,0,11.02,850.9544783,0,27,55.4,0,93,9.92,93,0.1,5226.99311,5437272
48,Djibouti,2006,Developing,59.1,39,2,1.02,121.4812077,0,49,3.6,2,72,7.5,72,3.7,965.6693779,79628
49,Dominican Republic,2006,Developing,72.3,178,7,6.2,352.9551269,84,0,49.3,8,88,4.34,89,1.8,3836.468771,9371338
50,Ecuador,2006,Developing,74.4,144,8,3.52,19.13983284,96,0,47.9,9,92,5.86,96,0.3,335.786541,1396748
51,Egypt,2006,Developing,69.5,175,55,0.18,0,98,953,54.2,66,98,5.24,98,0.1,0,0
52,El Salvador,2006,Developing,75,211,3,2.77,57.74562629,96,0,5.1,3,96,6.68,96,0.2,362.951768,656478
53,Equatorial Guinea,2006,Developing,54.8,337,3,7.28,827.5979335,0,0,2.5,4,52,2.13,4,5.3,12732.2759,792217
54,Eritrea,2006,Developing,59.7,336,7,0.97,10.60269773,94,128,14.3,9,94,3.3,94,1.4,297.828588,466648
55,Estonia,2006,Developing,73,188,0,16.58,244.3510801,95,27,55.9,0,95,5.1,95,0.1,12595.4165,134681
56,Ethiopia,2006,Developing,57.2,328,196,1.22,22.18952246,0,1451,14.2,304,59,4.47,46,3.3,193.794956,7885689
57,Fiji,2006,Developing,68.5,211,0,2.06,52.1241634,99,136,55.9,0,98,3.84,98,0.1,3749.939813,827411
58,Finland,2006,Developing,79.2,96,0,10.15,524.7775227,0,0,58.6,0,97,8.38,97,0.1,4112.67651,5266268
59,France,2006,Developing,86,92,3,12.4,5689.991931,39,40,58,4,99,1.53,99,0.1,36544.5853,63621376
60,Gabon,2006,Developing,61.4,288,2,8.01,40.53719812,52,90,31.4,3,44,2.88,45,10.7,727.777345,1444844
61,Gambia,2006,Developing,58.2,288,3,2.93,0,95,0,21.5,6,94,5.52,95,3,0,0
62,Georgia,2006,Developing,73.9,126,1,6.18,110.1138286,84,334,49.2,1,89,8.39,88,0.1,1872.68416,4136
63,Germany,2006,Developed,79.6,84,3,11.76,6407.535954,87,2307,58,3,94,1.34,96,0.1,36447.87232,82376451
64,Ghana,2006,Developing,59.4,288,41,1.7,129.0263364,84,420,23,62,84,4.64,84,2.9,922.9351677,22113425
65,Greece,2006,Developing,79.7,77,0,9.42,318.5806628,94,0,61.2,1,98,9.34,98,0.1,2481.15781,112362
66,Grenada,2006,Developing,71.7,167,0,9.06,662.2663687,91,0,41.1,0,91,5.99,91,0.1,6764.722867,0
67,Guatemala,2006,Developing,69.7,24,14,2.38,352.0244894,89,0,44.5,17,9,7.7,89,0.4,2256.56724,133978
68,Guinea,2006,Developing,55.6,317,31,0.16,10.3839337,0,4,19,49,53,3.2,57,2.6,296.68382,9881428
69,Guinea-Bissau,2006,Developing,54.4,36,5,3.22,21.53374936,0,0,2.7,8,74,5.87,71,5.6,418.94454,1412669
70,Guyana,2006,Developing,65.2,24,1,7.04,170.6325842,93,0,39.6,1,92,4.67,93,1.1,1945.6395,74961
71,Haiti,2006,Developing,61.1,28,17,6.18,6.995556386,0,0,39.6,23,61,5.7,6,3.3,55.47626,949457
72,Honduras,2006,Developing,72.8,161,5,3.23,192.9297829,94,0,43.5,6,94,7.63,95,0.8,1437.628785,754146
73,Hungary,2006,Developed,73.4,177,1,13.16,1299.459306,0,1,59.3,1,99,8.1,99,0.1,11398.76584,17137
74,Iceland,2006,Developed,81.1,61,0,7.2,1003.139804,0,0,57.4,0,97,8.96,97,0.1,5613.54115,33782
75,India,2006,Developing,64.8,28,1500,1.37,34.85942671,6,64185,13.9,2000,66,4.25,65,0.3,792.259698,1161977719
76,Indonesia,2006,Developing,67.3,191,159,0.06,72.0159316,66,20422,19.7,194,78,2.91,72,0.1,1586.254,22983822
77,Iran (Islamic Republic of),2006,Developing,72.2,139,26,0.02,0,98,220,49.4,30,99,5.95,98,0.1,0,0
78,Iraq,2006,Developing,64.7,249,31,0.03,75.25799773,59,474,53.2,38,63,3,59,0.1,2351.812429,27697912
79,Ireland,2006,Developed,79,78,0,13.44,9126.931178,0,87,55.8,0,91,7.22,91,0.1,54326.9713,4273591
80,Israel,2006,Developing,84,68,1,2.23,33.58620657,96,9,61.1,1,94,7.38,95,0.1,2195.1769,7537
81,Italy,2006,Developed,81.2,65,2,8.44,473.1915451,96,439,58.8,2,97,8.82,96,0.1,3341.7482,58143979
82,Jamaica,2006,Developing,74,15,1,3.63,194.092569,97,0,47.2,1,99,4.22,95,1.5,4313.1682,276279
83,Japan,2006,Developed,82.4,68,3,7.49,6502.136974,0,520,24.9,4,95,8.19,98,0.1,35433.98896,127854
84,Jordan,2006,Developing,72.8,121,4,0.59,313.3626015,98,1,58.6,4,98,8.8,98,0.1,2537.349,5934232
85,Kazakhstan,2006,Developing,65,295,8,7.08,76.19868936,99,109,46.8,9,99,3.73,99,0.1,5291.57565,153884
86,Kenya,2006,Developing,55.3,388,68,1.76,52.60385429,8,1847,16.9,104,77,4.24,8,10.3,697.66385,37525
87,Kiribati,2006,Developing,65,212,0,0.76,18.19457876,88,0,72.8,0,86,1.93,86,0.1,1151.555618,9426
88,Kuwait,2006,Developing,73.6,89,1,0.01,2443.444275,99,0,66.7,1,99,2.25,99,0.1,42717.55725,0
89,Kyrgyzstan,2006,Developing,66.7,234,4,2.48,0,9,27,38.5,4,93,6.73,92,0.1,0,0
90,Lao People's Democratic Republic,2006,Developing,61.5,24,11,3.69,0,57,58,15.5,15,56,4.14,57,0.2,0,0
91,Latvia,2006,Developed,75,229,0,10.4,1099.248837,94,7,57.4,0,96,6.8,96,0.1,9667.9757,2218357
92,Lebanon,2006,Developing,74.1,1,1,1.82,534.5795695,78,956,61.4,1,75,8.83,78,0.1,5372.65899,45735
93,Lesotho,2006,Developing,45.3,654,5,2.61,71.15577609,91,1,27.9,6,88,7.12,89,34.1,915.775754,1965662
94,Liberia,2006,Developing,56.7,32,11,4.05,15.79934152,0,20,22.4,15,66,1.9,6,3,178.92799,3375838
95,Libya,2006,Developing,72.2,134,2,0.01,493.415341,98,1,56.7,3,98,2.51,98,0.1,9344.987518,0
96,Lithuania,2006,Developed,76,229,0,12.7,116.504961,95,1,58.7,0,94,6.2,94,0.1,924.642548,326999
97,Luxembourg,2006,Developed,79.4,85,0,11.98,15345.4907,95,8,57.5,0,99,7.75,99,0.1,89739.7117,472637
98,Madagascar,2006,Developing,61.4,263,36,0.68,38.41870375,82,2,16.3,54,83,5.11,85,0.6,292.157443,1888268
99,Malawi,2006,Developing,47.1,587,38,1.18,6.847033785,99,1,16.2,61,99,8.99,99,21.1,297.6971211,13429262
100,Malaysia,2006,Developing,73.6,134,3,0.42,365.9113978,95,564,31.6,4,95,3.65,95,0.1,6222.982955,26143566
101,Maldives,2006,Developing,75,88,0,1.62,659.8499118,98,47,18.7,0,98,7.37,98,0.1,4428.522898,333
102,Mali,2006,Developing,54.3,288,57,0.53,67.70920683,9,128,18.5,98,79,6.56,78,1.8,521.6425796,1322764
103,Malta,2006,Developed,79.3,66,0,8.84,2380.699796,86,1,65.6,0,83,8.93,85,0.1,16671.5672,4538
104,Mauritania,2006,Developing,69,221,8,0.01,55.79836969,68,22,24.8,12,68,3.21,68,1.3,944.134851,322653
105,Mauritius,2006,Developing,71.8,165,0,3.73,502.3844946,97,3,28.6,0,98,4.38,97,0.1,5695.969327,1233996
106,Mexico,2006,Developing,75.8,125,40,5.11,980.2537444,98,23,57.2,47,98,5.83,98,0.1,8767.92258,1192378
107,Micronesia (Federated States of),2006,Developing,68,176,0,1.73,0,84,0,64.1,0,81,11.92,67,0.1,0,0
108,Mongolia,2006,Developing,65,271,2,2.91,122.1206485,98,26,43,2,98,4.68,99,0.1,1334.651896,255812
109,Montenegro,2006,Developing,73.8,13,0,5.38,595.7306923,9,0,56.5,0,9,8.1,9,0.1,4383.59597,61525
110,Morocco,2006,Developing,71,133,22,0.58,127.7632005,95,1217,49.9,25,97,5.23,97,0.1,2191.478567,3869346
111,Mozambique,2006,Developing,51.2,434,78,1.2,58.59644487,75,183,18.9,113,73,6.51,78,16.3,385.7567141,21547463
112,Myanmar,2006,Developing,64.2,22,61,0.28,4.632776304,75,760,17,83,82,1.78,82,0.6,296.97284,48846474
113,Namibia,2006,Developing,57,431,3,4.94,459.1572399,0,3,28.7,4,74,7.2,86,19.2,3881.29535,255734
114,Nepal,2006,Developing,66,21,31,0.2,45.87989927,69,2838,14.4,41,91,5.7,89,0.2,348.6314534,2594618
115,Netherlands,2006,Developed,79.8,71,1,9.79,8344.010392,0,1,56.5,1,96,9.36,96,0.1,44453.97119,1634611
116,New Zealand,2006,Developed,79.9,76,0,9.34,496.2228007,87,20,62.6,0,89,8.65,89,0.1,2667.86452,0
117,Nicaragua,2006,Developing,73,17,3,3.69,21.41123529,88,0,47.1,4,88,6.33,88,0.3,124.992617,545211
118,Niger,2006,Developing,54.5,277,54,0.11,43.42193066,0,59,15.7,110,52,7.39,51,1.5,258.463873,1413264
119,Nigeria,2006,Developing,49.8,396,549,9.66,10.35779424,27,704,19.9,879,46,3.66,4,5.3,119.743286,14261494
120,Norway,2006,Developed,84,7,0,6.47,12829.25408,0,0,57,0,94,8.43,94,0.1,74114.69715,466677
121,Oman,2006,Developing,74.7,115,1,0.58,78.51141,99,13,5.1,1,98,2.31,98,0.1,1448.55,0
122,Pakistan,2006,Developing,64.2,179,365,0.03,40.36829999,78,7641,19.5,458,77,3.4,78,0.1,873.772727,15793993
123,Panama,2006,Developing,76.2,125,1,5.72,631.1251711,88,0,51.1,2,98,7,88,0.1,5348.518399,339195
124,Papua New Guinea,2006,Developing,68,299,11,0.64,126.6142137,71,1,41.9,14,67,5.92,72,1.5,854.346921,647272
125,Paraguay,2006,Developing,72.3,161,3,5.61,26.18072382,92,0,43.5,4,98,6.43,98,0.2,189.71539,5882796
126,Peru,2006,Developing,74.2,134,12,4.22,448.7670462,94,0,49.5,15,94,4.47,94,0.4,3171.49856,27949944
127,Philippines,2006,Developing,67.3,219,63,4.08,121.3625467,77,9,2.6,82,88,3.95,88,0.1,1391.772325,8789419
128,Poland,2006,Developed,75.2,144,2,10.4,9.1455559,98,120,56,3,99,6.17,99,0.1,94.7726,38141267
129,Portugal,2006,Developed,78.5,96,0,13.11,2884.020194,97,0,54.9,0,97,9.67,97,0.1,19821.44463,1522288
130,Qatar,2006,Developing,76.6,83,0,1.28,448.5952989,96,144,65,0,95,2.58,96,0.1,6256.55926,0
131,Republic of Korea,2006,Developing,79.4,79,2,8.83,0,99,28,27.7,2,98,5.76,98,0.1,0,0
132,Republic of Moldova,2006,Developing,68,242,1,8.36,0,98,34,48.7,1,98,1.63,97,0.1,0,0
133,Romania,2006,Developed,72.5,157,3,8.51,665.6427546,99,3196,54.4,4,97,5.6,97,0.1,5828.745662,2119376
134,Russian Federation,2006,Developing,66.4,3,17,11.79,12.25184084,98,1147,55.7,20,98,5.3,98,0.3,692.194398,14349528
135,Rwanda,2006,Developing,57.6,328,22,6.88,78.47020226,99,494,15.9,34,99,1.2,99,6.2,342.3656294,92658
136,Saint Lucia,2006,Developing,73.5,155,0,13.45,0,85,0,4.4,0,85,6.37,85,0.1,0,0
137,Saint Vincent and the Grenadines,2006,Developing,71.7,173,0,5.93,0,99,0,45.7,0,99,3.88,99,0.3,0,0
138,Samoa,2006,Developing,72,153,0,3.52,40.22855669,35,0,7.3,0,37,4.68,39,0.1,287.963899,18194
139,Sao Tome and Principe,2006,Developing,64.7,22,0,5.46,47.08931143,75,0,24,0,97,7.84,97,1.2,843.89447,159328
140,Saudi Arabia,2006,Developing,73.2,1,9,0.08,1395.454965,96,807,6.9,10,96,3.55,96,0.1,15334.66994,0
141,Senegal,2006,Developing,61.3,236,23,0.34,10.43022617,89,3,19.9,38,89,5.44,89,0.7,89.838296,11556763
142,Serbia,2006,Developing,73.6,133,1,8.58,541.8243468,93,2,54.5,1,97,8.99,92,0.1,4129.758741,7411569
143,Seychelles,2006,Developing,72.2,185,0,8.12,102.373909,99,10,3.7,0,99,3.73,99,0.1,1214.39987,846
144,Sierra Leone,2006,Developing,44.3,464,30,3.8,38.00075788,0,33,19.7,46,65,1.68,64,2.2,322.313468,5848692
145,Singapore,2006,Developed,87,66,0,1.55,2639.376955,95,23,3.5,0,95,3.66,95,0.1,33579.85948,0
146,Slovakia,2006,Developed,74.3,138,0,10.28,0,99,0,53.7,0,99,7.35,99,0.1,0,0
147,Slovenia,2006,Developed,78.1,17,0,12.26,2724.17807,0,0,54.7,0,97,8.42,97,0.1,19726.1265,26868
148,Solomon Islands,2006,Developing,67.6,2,0,0.99,240.4851202,99,0,43,0,99,6.66,99,0.1,948.6592511,481422
