Numbers,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population
1,Afghanistan,2007,Developing,57.5,295,82,0.02,10.91015598,63,1141,15.2,113,63,6.73,63,0.1,369.835796,26616792
2,Albania,2007,Developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,29717
3,Algeria,2007,Developing,73.8,129,20,0.44,320.3239241,9,,5.8,23,95,3.82,95,0.1,3935.183343,34376
4,Angola,2007,Developing,48.2,375,87,6.35,184.8213446,73,1014,18.8,138,75,3.38,73,2.6,2878.837144,2997687
5,Antigua and Barbuda,2007,Developing,75,144,,8.64,257.9665308,97,,42.6,,98,4.27,99,0.1,14252.29452,NA
6,Argentina,2007,Developing,74.8,129,10,8.16,1105.659031,85,,58,12,92,6.49,91,0.1,7193.61764,3997224
7,Armenia,2007,Developing,73.5,132,1,3.99,44.57219966,85,1,49.7,1,9,4.31,88,0.1,3138.8873,293356
8,Australia,2007,Developed,81.3,66,1,10.56,872.5986092,94,11,62.5,2,92,8.53,92,0.1,4991.98289,28276
9,Austria,2007,Developed,81,8,,12.5,7453.8644,85,20,53.7,,85,1.4,85,0.1,46586.6525,8295487
10,Azerbaijan,2007,Developing,73,14,6,1.02,176.0107106,62,,45.9,7,81,5.1,79,0.1,3851.437869,85813
11,Bahamas,2007,Developing,74.4,167,,10.75,,93,,59.4,,95,7.8,95,0.1,NA,NA
12,Bahrain,2007,Developing,75.6,77,,2,278.3602806,97,7,57.6,,97,3.8,97,0.1,2977.1153,NA
13,Bangladesh,2007,Developing,68.6,151,154,0.01,46.36536703,95,2924,13.5,201,96,2.8,94,0.1,541.651484,147139191
14,Barbados,2007,Developing,74.2,113,,8.47,1641.30981,93,,48.4,,93,5.64,93,0.1,16462.48556,NA
15,Belarus,2007,Developing,69.8,226,1,14.22,464.077513,91,1,57.7,1,9,6.44,95,0.1,4735.484827,956953
16,Belgium,2007,Developed,79.5,86,,10.25,640.3560918,94,64,6.9,1,99,9.25,98,0.1,4443.83131,16257
17,Belize,2007,Developing,69.6,181,,7.24,69.63051047,96,,45,,97,4.76,96,0.6,4324.876427,29847
18,Benin,2007,Developing,57.1,283,25,1.12,7.49281752,82,341,21.5,39,82,4.55,82,2,76.535419,8454791
19,Bhutan,2007,Developing,66.5,238,1,0.16,283.806236,95,11,18,1,93,5.88,95,0.3,1741.142552,686958
20,Bolivia (Plurinational State of),2007,Developing,66.8,216,11,3.47,,84,,47.3,14,85,4.96,84,0.2,NA,NA
21,Bosnia and Herzegovina,2007,Developing,75.4,16,,5.16,8.240355867,94,166,51.5,,95,8.37,95,0.1,418.292176,3774
22,Botswana,2007,Developing,56.9,436,2,6.21,512.5887995,93,1,33.7,3,96,4.71,96,13.4,5714.47937,1914414
23,Brazil,2007,Developing,73.3,159,65,7.19,394.9321299,99,,49.4,73,99,8.28,99,0.1,7313.557962,19126637
24,Brunei Darussalam,2007,Developing,76,1,,0.85,2048.557422,97,,33.2,,95,2.32,99,0.1,32672.36717,NA
25,Bulgaria,2007,Developed,72.6,157,1,10.89,591.5100978,95,1,6.9,1,95,6.41,95,0.1,5932.899677,7545338
26,Burkina Faso,2007,Developing,55.3,293,46,4.58,73.92730583,89,12,15.1,83,93,6.63,89,1.7,475.11122,1425221
27,Burundi,2007,Developing,54.8,355,24,4.54,1.72659515,99,43,14.8,36,93,1.3,99,3.4,17.79995,7939573
28,Côte d'Ivoire,2007,Developing,49.9,443,61,2.58,,76,5,23.2,87,75,6.35,76,5.3,NA,NA
29,Cabo Verde,2007,Developing,72.3,126,,5.28,345.463714,96,,25.5,,98,4.3,98,0.6,3112.285712,486438
30,Cambodia,2007,Developing,65,24,16,2.08,57.73516711,82,394,14.8,20,82,3.75,82,0.9,631.675789,13676693
31,Cameroon,2007,Developing,53.6,395,57,5.44,7.562892922,82,100,24.4,89,81,4.76,82,7,111.71186,18395389
32,Canada,2007,Developing,85,74,2,8.3,7946.743581,14,101,62.5,2,9,9.83,94,0.1,44544.5268,32887928
33,Central African Republic,2007,Developing,46.8,495,17,1.5,60.04884821,NA,49,19,26,46,4.4,48,9,397.148467,42758
34,Chad,2007,Developing,49.4,394,46,0.42,5.962923532,NA,441,16.1,80,38,3.35,28,4.9,81.683884,177578
35,Chile,2007,Developing,78.9,9,2,7.39,209.4875875,92,,58.7,2,95,6.35,96,0.1,1526.87746,16491687
36,China,2007,Developing,74.4,96,285,3.88,312.6624819,92,109023,25.7,332,94,4.32,93,0.1,2695.366223,1317885
37,Colombia,2007,Developing,73.5,144,14,4.66,780.5946749,93,,52,17,93,6.25,93,0.1,4674.21961,44374572
38,Comoros,2007,Developing,66,259,2,0.16,9.087638194,75,,2.1,2,75,4.93,75,0.1,72.759313,64162
39,Congo,2007,Developing,58.2,354,8,2.75,,64,84,22.8,11,71,2.54,72,5,NA,NA
40,Costa Rica,2007,Developing,78.9,93,1,4.2,150.8891479,89,,52.4,1,89,8.37,89,0.1,612.623418,4369469
41,Croatia,2007,Developed,75.8,114,,12.56,2019.812779,95,,58.7,,96,7.44,96,0.1,13546.69872,4436
42,Cuba,2007,Developing,78.1,14,1,4.13,750.7147641,93,,55.4,1,99,1.42,93,0.1,5184.494227,NA
43,Cyprus,2007,Developed,78.9,63,,11.56,1958.525877,93,,56.3,,97,6.5,97,0.1,31386.63265,163712
44,Czechia,2007,Developed,76.8,17,,13.43,,99,2,62.2,,99,6.52,99,0.1,NA,NA
